"Booking Reference",Name,Phone,"Pickup Suburb",Destination,Date,Time,Status
BRN00000,Taxi,12341231234,I,Address,2025-07-06,00:25:00,assigned
BRN00000,Taxi,12341231234,Home,Hard,2025-07-06,00:30:00,assigned
BRN00003,Today,12341231234,Store,"Taxi Stop",2025-07-06,00:30:00,assigned
BRN00004,Where,03030303030,Home,Address,2025-07-08,12:35:00,unassigned
BRN00005,Where,03030303030,Home,Address,2025-07-08,12:35:00,assigned
BRN00006,Where,03030303030,Home,Address,2025-07-08,12:48:00,assigned
BRN00007,Where,0303030304,Auckland,Address,2025-07-08,13:35:00,unassigned
BRN00008,Where,03030303030,Home,Address,2025-07-08,12:35:00,unassigned
BRN00009,Where,03030303030,Home,Address,2025-07-08,13:35:00,assigned
BRN00010,Where,03030303030,Home,Address,2025-07-08,12:35:00,unassigned
BRN00011,Where,03030303030,Home,Address,2025-07-08,12:35:00,unassigned
BRN00012,Where,03030303030,Home,Address,2025-07-08,12:35:00,unassigned
BRN00013,Where,03030303030,Home,Address,2025-07-08,12:35:00,unassigned
BRN00014,Where,03030303030,Home,Address,2025-07-08,12:35:00,unassigned
BRN00015,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,assigned
BRN00017,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,assigned
BRN00018,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,unassigned
BRN00019,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,unassigned
BRN00020,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,unassigned
BRN00021,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,unassigned
BRN00022,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,unassigned
BRN00023,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,unassigned
BRN00024,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,unassigned
BRN00025,ABC,2391470923,GHI,FDVS,2025-07-08,14:46:00,unassigned
